Name,Latitude,Longitude,Parroquia,Tipus,Date,Marker,Link to the inventory,Explore,Level of protection,Link Picture,Image source,Id_culture,Property,Style,Historical Periods,Visitable,Visible online,Catalog code parròquia,Link TripAdvisor,Link Wikipedia,Link parròquia,Link VisitAndorra,Architect- Artist,Notes
Església de Sant Felip i Sant Jaume dels Cortals,42.534034,1.605487,Encamp,chapel,1400-1600,measle_grey,,,No,http://visitandorra.com/var/andorra/storage/images/www.andorra.ad/llocs-i-serveis/esglesia-de-sant-jaume-dels-cortals/269595-52-cat-ES/esglesia-de-sant-jaume-dels-cortals.jpg,Andorra Turisme,,Private,Religious popular architecture,Early modern period: 1492-1793 (16th to 18th century),No,Visible,BPC-84,https://www.tripadvisor.com/Attraction_Review-g2385338-d10671087-Reviews-Iglesia_de_Sant_Jaume_dels_Cortals-Encamp_Encamp_Parish.html,,,http://visitandorra.com/en/culture/church-of-sant-jaume-dels-cortals/,,
Oratori de la Mare de Déu de l’Ecologia,42.5288137,1.5874512,Encamp,oratory,1900-2000,measle_grey,,,No,http://visitandorra.com/var/andorra/storage/images/www.andorra.ad/llocs-i-serveis/oratori-de-la-mare-de-deu-de-l-ecologia/269421-39-cat-ES/oratori-de-la-mare-de-deu-de-l-ecologia_img_gallery_full_page.jpg,Andorra Turisme,,Public,,"Late modern period: 1793-1970 (19th to 20th century aprox.), Actual: 1970 - now",Yes,Visible,,https://www.tripadvisor.com/Attraction_Review-g2385338-d10670422-Reviews-Oratorio_de_la_virgen_de_la_Ecologia-Encamp_Encamp_Parish.html,,http://www.encamp.ad/que-fer/cultura/esglesies/mare-de-deu-de-l-ecologia,http://visitandorra.com/en/culture/mare-de-deu-de-l-ecologia-oratory/,,
Oratori de les Bons,42.538083,1.588543,Encamp,oratory,1700-1900,,,,No,http://m1.visitandorra.com/var/andorra/storage/images/www.andorra.ad/cultura/oratori-de-les-bons/269769-32-cat-ES/oratori-de-les-bons_img_gallery_full_page.jpg,Andorra Turisme,,Public,,"Early modern period: 1492-1793 (16th to 18th century), Late modern period: 1793-1970 (19th to 20th century aprox.)",Yes,Visible,BPC-9,https://www.tripadvisor.com/Attraction_Review-g2385338-d10670207-Reviews-Oratorio_de_Les_Bons-Encamp_Encamp_Parish.html,,http://www.encamp.ad/que-fer/cultura/esglesies/oratori-de-les-bons,http://visitandorra.com/en/culture/les-bons-oratory/,,
Església nova de Sant Felip i Sant Jaume dels Cortals,42.534349,1.6032857,Encamp,church,1999,measle_grey,,"https://www.google.com/maps/place/Sant+Felip+i+Sant+Jaume+dels+Cortals/@42.5343407,1.6032544,3a,75y,331h,90t/data=!3m8!1e1!3m6!1sTqQWZTFyOb8AAAQfCbJeIA!2e0!3e2!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3DTqQWZTFyOb8AAAQfCbJeIA%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D331.87442%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656!4m5!3m4!1s0x0:0x3650f439dea7d7bd!8m2!3d42.534349!4d1.6032857!6m1!1e1",No,http://www.encamp.ad/que-fer/cultura/esglesies/esglesia-de-sant-jaume-dels-cortals/ImatgePrincipal_fitxa,Andorra Turisme,,,Contemporary,Actual: 1970 - now,,Visible,,,,http://www.encamp.ad/que-fer/cultura/esglesies/esglesia-de-sant-jaume-dels-cortals,http://visitandorra.com/en/culture/church-of-sant-jaume-dels-cortals/,,
Església de Sant Romà de les Bons,42.538899,1.587053,Encamp,church,1164,measle_grey,http://www.cultura.ad/banc/Cerca3_Inventari.php?id=23,"https://www.google.com/maps/place/Sant+Rom%C3%A0+de+les+Bons/@42.5388812,1.5870681,3a,75y,112.29h,90t/data=!3m7!1e1!3m5!1ssNLKBlLbb8gAAAQfCT9Qsg!2e0!3e2!7i13312!8i6656!4m5!3m4!1s0x12a58a0838fa0b43:0x64c905881d8b17d4!8m2!3d42.5388994!4d1.5870531!6m1!1e1?hl",BIC Monuments,http://www.cultura.ad/banc/img/Grans/12.jpg,Patrimoni Cultural d'Andorra,23,Public,Romanic,Middle Ages: AD 500-1492 (6th to 15th century),Yes,Visible,BIC-2,https://www.tripadvisor.com/Attraction_Review-g2385338-d8532665-Reviews-Iglesia_de_San_Roma_de_les_Bons-Encamp_Encamp_Parish.html,https://ca.wikipedia.org/wiki/Sant_Rom%C3%A0_de_les_Bons,http://www.encamp.ad/que-fer/cultura/esglesies/esglesia-de-sant-roma-de-les-bons,http://visitandorra.com/en/culture/church-of-sant-roma-de-les-bons/,,
Hotel Rosaleda,42.5370705,1.5834678,Encamp,hotel,1943,measle_grey,http://www.cultura.ad/banc/Cerca3_Inventari.php?id=30,,BIC Monuments,http://www.cultura.ad/banc/img/Grans/18.jpg,Patrimoni Cultural d'Andorra,30,Public,Granite Architecture,Late modern period: 1793-1970 (19th to 20th century aprox.),No,Visible,BIC-3,,https://ca.wikipedia.org/wiki/Hotel_Rosaleda,http://www.encamp.ad/que-fer/cultura/itineraris-culturals/itinerari-de-les-bons,,,
Església i Comunidor de Santa Eulàlia,42.534766,1.576652,Encamp,parish church,"1000-1200,1600-1800, 1987",measle_grey,http://www.cultura.ad/banc/Cerca3_Inventari.php?id=38,"https://www.google.com/maps/@42.5346974,1.5766129,3a,75y,70.92h,74.65t/data=!3m6!1e1!3m4!1slRWhURgfP9cAAAQfCTe6AQ!2e0!7i13312!8i6656",BIC Monuments,http://www.cultura.ad/banc/img/Grans/26.jpg,Patrimoni Cultural d'Andorra,38,Public,"Romanic, Religious popular architecture, Contemporary",Middle Ages: AD 500-1492 (6th to 15th century),Yes,Visible,BIC-5,https://www.tripadvisor.com/Attraction_Review-g2385338-d2381191-Reviews-Iglesia_de_Santa_Eulalia_de_Encamp-Encamp_Encamp_Parish.html,https://ca.wikipedia.org/wiki/Santa_Eul%C3%A0lia_d%27Encamp,http://www.encamp.ad/que-fer/cultura/esglesies/esglesia-de-santa-eulalia-d-encamp,http://visitandorra.com/en/culture/church-of-santa-eulalia-d-encamp/,,
Església de Sant Miquel de la Mosqueraa,42.53514,1.5817956,Encamp,church,"1500-1600, 1769",measle_grey,http://www.cultura.ad/banc/Cerca3_Inventari.php?id=39,"https://www.google.com/maps/place/Sant+Miquel+de+la+Mosquera/@42.5351892,1.5817316,3a,75y,153.49h,90t/data=!3m6!1e1!3m4!1sYKtHcqJjJvMAAAQfCTgHbA!2e0!7i13312!8i6656!4m5!3m4!1s0x0:0x59c642ef890cceb5!8m2!3d42.53514!4d1.5817956!6m1!1e1?hl",BIC Monuments,http://www.cultura.ad/banc/img/Grans/27.jpg,Patrimoni Cultural d'Andorra,39,Public,Religious popular architecture,Modern Age (1.512 A.D.-1.899 A.D.),Yes,Visible,BIC-4,https://www.tripadvisor.com/Attraction_Review-g2385338-d10721676-Reviews-Iglesia_de_San_Miquel_de_la_Mosquera-Encamp_Encamp_Parish.html,https://ca.wikipedia.org/wiki/Sant_Miquel_de_la_Mosquera,http://www.encamp.ad/que-fer/cultura/esglesies/esglesia-de-sant-miquel-de-la-mosquera,http://visitandorra.com/en/culture/church-of-sant-miquel-de-la-mosquera/,,
Església de Sant Marc i Santa Maria,42.532982,1.572018,Encamp,church,"1100-1200, 1712",measle_grey,http://www.cultura.ad/banc/Cerca3_Inventari.php?id=40,"https://www.google.com/maps/@42.5329845,1.5720522,3a,75y,65.99h,90t/data=!3m6!1e1!3m4!1spQGsE7Hk3YUAAAQfCTe65A!2e0!7i13312!8i6656",BIC Monuments,http://www.cultura.ad/banc/img/Grans/28.jpg,Patrimoni Cultural d'Andorra,40,Public,"Romanic, Religious popular architecture","Middle Ages: AD 500-1492 (6th to 15th century),Early modern period: 1492-1793 (16th to 18th century),",No,Visible,BIC-7,https://www.tripadvisor.com/Attraction_Review-g2385338-d10430782-Reviews-Sant_Marc_i_Santa_Maria-Encamp_Encamp_Parish.html,https://ca.wikipedia.org/wiki/Sant_Marc_i_Santa_Maria_d%27Encamp,http://www.encamp.ad/que-fer/cultura/esglesies/esglesia-de-sant-marc-i-santa-maria,http://visitandorra.com/en/culture/church-of-sant-marc-i-santa-maria/,,
Església de Sant Romà de Vila,42.5312543,1.5677383,Encamp,church,1200-1300,measle_grey,http://www.cultura.ad/banc/Cerca3_Inventari.php?id=41,"https://www.google.com/maps/@42.5312654,1.5676725,3a,75y,100.85h,90t/data=!3m6!1e1!3m4!1sY3J9GIp-lcIAAAQfCTZXzg!2e0!7i13312!8i6656",BIC Monuments,http://www.cultura.ad/banc/img/Grans/29.jpg,Patrimoni Cultural d'Andorra,41,Public,Romanic,Middle Ages: AD 500-1492 (6th to 15th century),No,Visible,BIC-8,https://www.tripadvisor.com/Attraction_Review-g2385417-d10670261-Reviews-Iglesia_de_San_Roma_de_Vila-Vila_Encamp_Parish.html,https://ca.wikipedia.org/wiki/Sant_Rom%C3%A0_de_Vila,http://www.encamp.ad/que-fer/cultura/esglesies/esglesia-de-sant-roma-de-vila,http://visitandorra.com/en/culture/church-of-sant-roma-de-vila/,,
